chemical_system,drift_class,n
F-Nd-Pa,stable_to_unstable,1
F-Nd-Rb,unstable_to_unstable,1
F-Ni,unstable_to_unstable,1
F-Ni-Pa,stable_to_stable,1
F-Ni-Rb,unstable_to_unstable,1
F-Ni-Sr,unstable_to_unstable,1
F-Ni-Tm,stable_to_stable,1
F-Ni-Zn,unstable_to_stable,1
F-Np,unstable_to_unstable,2
F-Np-Pa,stable_to_unstable,1
F-Np-V,stable_to_unstable,1
F-O-Pa,stable_to_stable,1
F-Os-Rb,stable_to_unstable,1
F-P-Rb,stable_to_stable,1
F-Pa-Pb,stable_to_stable,1
F-Pa-Pd,stable_to_stable,2
F-Pa-Pr,stable_to_unstable,1
F-Pa-Pt,stable_to_unstable,1
F-Pa-Pu,stable_to_stable,1
F-Pa-Rh,stable_to_unstable,1
F-Pa-Ru,stable_to_unstable,1
F-Pa-Sc,stable_to_unstable,1
F-Pa-Si,stable_to_stable,1
F-Pa-Sm,stable_to_unstable,1
F-Pa-Sn,stable_to_stable,2
F-Pa-Sr,stable_to_unstable,1
F-Pa-Tb,stable_to_unstable,1
F-Pa-Th,stable_to_unstable,1
F-Pa-Tl,stable_to_stable,2
F-Pa-Tm,stable_to_stable,1
F-Pa-U,stable_to_stable,1
F-Pa-V,stable_to_unstable,1
F-Pa-Y,stable_to_unstable,1
F-Pa-Yb,stable_to_unresolved,1
F-Pa-Zn,stable_to_stable,1
F-Pa-Zr,stable_to_unstable,1
F-Pb-Sr,stable_to_unstable,1
F-Pd,stable_to_unstable,1
F-Pd-Rb,stable_to_unstable,1
F-Pr,unstable_to_unstable,1
F-Pr-Rb,unstable_to_unstable,1
F-Pu-Rb,stable_to_stable,1
F-Rb-Sm,unstable_to_unstable,1
F-Rb-Ti,unstable_to_stable,1
F-Rb-Tm,stable_to_stable,3
F-Rb-Y,unstable_to_unstable,1
F-Rb-Zr,unstable_to_unstable,2
F-Sc,unstable_to_unstable,1
F-Sc-Sr,unstable_to_unstable,1
F-Sc-Yb,unstable_to_unresolved,1
F-Sc-Zn,unstable_to_unstable,2
F-Se,stable_to_stable,2
F-Sr,unstable_to_unstable,2
F-Sr-Tm,stable_to_unstable,1
F-Sr-Yb,unstable_to_unresolved,1
F-Sr-Zn,unstable_to_unstable,1
F-Ti,unstable_to_stable,2
F-Tl-Tm,stable_to_stable,1
F-Tl-Zn,stable_to_stable,1
F-Tm,unstable_to_stable,1
F-Tm-Zn,stable_to_stable,3
F-V,unstable_to_unstable,1
F-Y-Zn,unstable_to_unstable,1
F-Yb-Zn,unstable_to_unresolved,1
F-Zn,stable_to_stable,1
F-Zr,unstable_to_unstable,1
Ga-Gd-I,stable_to_unstable,1
Ga-Pm-Pt,stable_to_unstable,1
Ga-Pm-Te,stable_to_stable,2
Gd-Ge-I,stable_to_stable,2
Gd-H-I,stable_to_stable,3
Gd-I,stable_to_stable,12
Gd-I-In,stable_to_stable,2
Gd-I-Li,stable_to_stable,1
Gd-I-N,stable_to_stable,5
Gd-I-Na,stable_to_stable,1
Gd-I-O,stable_to_unstable,1
Gd-I-P,stable_to_stable,2
Gd-I-Pb,stable_to_unstable,1
Gd-I-Rh,stable_to_unstable,1
Gd-I-Ru,stable_to_stable,1
Gd-I-S,stable_to_stable,1
Gd-I-Sb,stable_to_stable,3
Gd-I-Se,stable_to_stable,1
Gd-I-Si,stable_to_stable,2
Gd-I-Sn,stable_to_stable,2
Gd-I-Sr,stable_to_unstable,1
Gd-I-Te,stable_to_unstable,1
Ge-Pm-Pt,stable_to_stable,1
Ge-Pm-Te,stable_to_stable,1
H-I-Np,stable_to_stable,1
Ho-La-O,unstable_to_unstable,1
Ho-Se,stable_to_stable,1
I-La,unstable_to_stable,1
I-La-N,unstable_to_unstable,1
I-Mo,stable_to_unstable,1
I-Nd,stable_to_stable,2
I-Np,unstable_to_stable,1
I-Pr,stable_to_unstable,2
I-Ru,stable_to_stable,2
I-Sm,stable_to_unstable,1
I-Sr,stable_to_unstable,3
I-Sr,unstable_to_unstable,1
I-V,stable_to_stable,1
I-W,stable_to_unstable,1
In-Pa-Se,stable_to_stable,1
In-Pm-Te,stable_to_stable,1
Ir-Pm,stable_to_stable,2
K-Pa-Se,stable_to_stable,1
K-Pa-Se-Zn,stable_to_stable,1
K-Pa-Te,stable_to_stable,1
K-Pm-Te,stable_to_stable,1
La-Lu-O,unstable_to_unstable,1
La-O,unstable_to_unstable,1
La-O-Tm,unstable_to_unstable,1
Li-Pm-Te,stable_to_unstable,1
Mg-Pm-Te,stable_to_stable,1
Mn-Pm-Te,stable_to_stable,1
Mn-Se,stable_to_stable,1
Na-Pa-Se,stable_to_stable,2
Na-Pa-Te,stable_to_unstable,1
Ni-Pm-Te,stable_to_unstable,1
Np-Pt-Rb-Te,unstable_to_unstable,1
Np-S-Te,stable_to_unstable,1
Np-Se,unstable_to_stable,1
Np-Se-Te,stable_to_unstable,1
P-Pa-Se,stable_to_stable,1
P-Pm-Pt,stable_to_stable,1
Pa-Pb-Se,stable_to_stable,1
Pa-Rb-Se,stable_to_stable,2
Pa-Rb-Se-Zn,stable_to_stable,1
Pa-Rb-Te,stable_to_stable,1
Pa-Se,stable_to_stable,4
Pa-Se-Sn,stable_to_stable,1
Pa-Se-Tl,stable_to_stable,1
Pa-Te,stable_to_stable,3
Pa-Te-Tl,stable_to_unstable,1
Pb-Pm-Te,stable_to_stable,1
Pm-Pt,stable_to_stable,4
Pm-Pt-Sb,stable_to_stable,1
Pm-Pt-Tl,stable_to_stable,1
Pm-Rb-Te,stable_to_stable,1
Pm-Si-Te,stable_to_stable,1
Pm-Sn-Te,stable_to_stable,1
Pm-Te,stable_to_stable,3
Pm-Te-Zn,stable_to_stable,1
Sc-Se,stable_to_stable,1
Sc-Te,stable_to_unstable,1
Se-Tc,stable_to_stable,1
Se-Ti,stable_to_stable,1
Sr-Te,stable_to_stable,1
Te-Ti,stable_to_stable,2
Te-V,stable_to_unstable,2
