query,category_id,released,supported,score_mean,e_value_mean,unsupported,utr,dataset,generator,alpha1,seed,candidate_budget_M
sheep,961,4,4,0.8508581481873989,13.92677305033784,0,0.0,TAO,GroundingDINO,0.2,1,150
skateboard,980,11,11,0.8706773925911296,16.455114833390965,0,0.0,TAO,GroundingDINO,0.2,1,150
sunglasses,1054,2,2,0.8818991631269455,23.778741958386213,0,0.0,TAO,GroundingDINO,0.2,1,150
surfboard,1057,4,4,0.8693225383758545,17.181112821658182,0,0.0,TAO,GroundingDINO,0.2,1,150
thermometer,1101,1,1,0.8224050402641296,5.8988670400788825,0,0.0,TAO,GroundingDINO,0.2,1,150
water bottle,1184,2,2,0.9043314903974533,34.068163221773965,0,0.0,TAO,GroundingDINO,0.2,1,150
zebra,1229,1,1,0.8803351074457169,13.489320694998458,0,0.0,TAO,GroundingDINO,0.2,1,150
airplane,4,3,3,0.9177858034769694,26.976681569883496,0,0.0,TAO,GroundingDINO,0.2,2,150
army tank,1078,2,2,0.8536102920770645,10.417432968064235,0,0.0,TAO,GroundingDINO,0.2,2,150
baby,805,44,44,0.8577387497611183,13.536948580499017,0,0.0,TAO,GroundingDINO,0.2,2,150
bear,78,1,1,0.8885005787014961,18.82901401426282,0,0.0,TAO,GroundingDINO,0.2,2,150
bicycle,95,1,1,0.8275220990180969,5.298272112326303,0,0.0,TAO,GroundingDINO,0.2,2,150
cellular telephone,235,16,16,0.8672604163487753,17.30433519799054,0,0.0,TAO,GroundingDINO,0.2,2,150
cow,81,2,2,0.9130622886121272,23.57687236662474,0,0.0,TAO,GroundingDINO,0.2,2,150
crow,336,1,1,0.8998814225196838,33.776299976401,0,0.0,TAO,GroundingDINO,0.2,2,150
curtain,352,1,1,0.8899183124303818,33.776299976401,0,0.0,TAO,GroundingDINO,0.2,2,150
dog,382,7,7,0.8847650388876597,23.54721343828275,0,0.0,TAO,GroundingDINO,0.2,2,150
eagle,415,1,1,0.8307744413614273,5.298272112326303,0,0.0,TAO,GroundingDINO,0.2,2,150
elephant,429,1,1,0.8580035169919332,13.377444756848485,0,0.0,TAO,GroundingDINO,0.2,2,150
giraffe,502,11,10,0.9044880749601307,29.267326046022436,1,0.09090909090909091,TAO,GroundingDINO,0.2,2,150
guitar,531,2,2,0.8348869213036129,6.377846645803143,0,0.0,TAO,GroundingDINO,0.2,2,150
helicopter,567,2,2,0.8516967073082924,10.417432968064235,0,0.0,TAO,GroundingDINO,0.2,2,150
horse,579,3,3,0.8456717332204183,8.895416600765804,0,0.0,TAO,GroundingDINO,0.2,2,150
kayak,611,2,2,0.8298437893390656,5.574827989247624,0,0.0,TAO,GroundingDINO,0.2,2,150
laptop computer,642,2,2,0.8432322790225346,8.976943359318907,0,0.0,TAO,GroundingDINO,0.2,2,150
motor scooter,711,1,1,0.8545644730329514,13.377444756848485,0,0.0,TAO,GroundingDINO,0.2,2,150
motorcycle,714,6,6,0.8548399574226804,11.044245386500037,0,0.0,TAO,GroundingDINO,0.2,2,150
notebook,736,1,1,0.8375251069664955,7.457421179279984,0,0.0,TAO,GroundingDINO,0.2,2,150
rabbit,875,1,1,0.8596064075827599,13.377444756848485,0,0.0,TAO,GroundingDINO,0.2,2,150
sheep,961,3,3,0.8467104252841738,9.430762371802818,0,0.0,TAO,GroundingDINO,0.2,2,150
skateboard,980,6,6,0.8648465789026685,15.01041997784654,0,0.0,TAO,GroundingDINO,0.2,2,150
spider,1016,2,2,0.8757262289524078,23.57687236662474,0,0.0,TAO,GroundingDINO,0.2,2,150
surfboard,1057,16,16,0.8784740790724754,20.577759448452,0,0.0,TAO,GroundingDINO,0.2,2,150
truck,1144,1,1,0.8291215896606445,5.298272112326303,0,0.0,TAO,GroundingDINO,0.2,2,150
umbrella,1155,1,1,0.8333710432052612,6.548606933776355,0,0.0,TAO,GroundingDINO,0.2,2,150
water bottle,1184,1,1,0.8491568863391876,10.49646553935783,0,0.0,TAO,GroundingDINO,0.2,2,150
zebra,1229,1,1,0.8803351074457169,13.377444756848485,0,0.0,TAO,GroundingDINO,0.2,2,150
