panel,domain,dataset,proposal_source,alpha,K,method,mean_release,release_rate,FTR_mean,empirical_FTR_mean,seeds,source_artifact,source_sha256,evidence_status,claim_boundary,method_family,certificate_type,uses_null_superset,uses_SCS_denominator,respects_compatibility,deployable,target_object,false_followups_mean,prevented_unstable_followups_mean,is_parc_certificate,has_full_release_certificate,false_count_mean
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,100,Bao-style selective conformal adaptation,97.0,1.0,0.028665970933828,0.028665970933828,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_different_target_baseline,retrospective public-DFT baseline frontier; not prospective discovery,Bao-style selective conformal adaptation,different_target,False,False,False,True,selective conformal adaptation,,,False,False,2.780599180581316
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,100,Bao-style selective conformal oracle-label diagnostic,97.0,1.0,0.028665970933828,0.028665970933828,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_different_target_baseline,retrospective public-DFT baseline frontier; not prospective discovery,oracle prefix,non_deployable_oracle,False,False,False,False,full-label oracle diagnostic,,,False,False,2.780599180581316
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,100,Raw top-K source ranking,100.0,1.0,0.03,0.03,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_different_target_baseline,retrospective public-DFT baseline frontier; not prospective discovery,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,3.0
materials_public_dft_baseline_frontier,Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,100,nnPU classifier release,100.0,1.0,0.03,0.03,,outputs/milestones/fixed_budget_downstream_utility/table_materials_baseline_frontier.csv,d7555b47437953e4a6ced6352dcf5acf6b16e9ef48f7c4af5ab79c2cacee9717,completed_different_target_baseline,retrospective public-DFT baseline frontier; not prospective discovery,nnPU classifier release,different_target,False,False,False,True,PU plug-in classifier,,,False,False,3.0
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,300,Raw top-K,300.0,1.0,0.2531666666666666,0.2531666666666666,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,raw top-K,no_certificate,False,False,False,True,ranked prefix,75.95,0.0,False,False,75.94999999999997
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,300,Raw top-R,115.1,1.0,0.0870024948491858,0.0870024948491858,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,raw top-R,diagnostic_not_policy,False,False,False,False,matched-volume diagnostic,11.7,0.0,False,False,10.013987157141285
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,300,PARC,115.1,1.0,0.0870024948491858,0.0870024948491858,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,11.7,64.25,True,True,10.013987157141285
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,500,Raw top-K,500.0,1.0,0.3269,0.3269,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,raw top-K,no_certificate,False,False,False,True,ranked prefix,163.45,0.0,False,False,163.45000000000002
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,500,Raw top-R,90.75,1.0,0.0482207668261013,0.0482207668261013,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,raw top-R,diagnostic_not_policy,False,False,False,False,matched-volume diagnostic,5.15,0.0,False,False,4.376034589468692
materials_ALIGNN_fixed_budget_utility,Materials discovery,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,0.1,500,PARC,90.75,1.0,0.0482207668261013,0.0482207668261013,20,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,completed_public_DFT_fixed_budget_utility,fixed-budget public-DFT utility; not prospective discovery; raw top-R is diagnostic,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,5.15,158.3,True,True,4.376034589468692
