candidate_id,generator,generator_mode,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,space_group,structure_ref,structure_sha256,generation_rank,generation_status
mattergen_pilot_5k_3gpu_00207,MatterGen,mattergen_base_unconditional_smoke,Cd4 Ga2,Cd2Ga,Cd-Ga,AB2,6,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1184.cif,53b7663a4a33a30bac1aa4c4d991ab165b1b7212d8785ba8bb451c17242a05ac,207,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00208,MatterGen,mattergen_base_unconditional_smoke,Nd2 Sm3 Ho2 Er9,Nd2Sm3Ho2Er9,Er-Ho-Nd-Sm,A2B2C3D9,16,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1185.cif,c93a8a7e5d67ae8cbeb5dcc922acb6cbeec5bb1920aab0dfc025ca782005ee46,208,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00209,MatterGen,mattergen_base_unconditional_smoke,Mg1 Ga10 Pt5,Mg(Ga2Pt)5,Ga-Mg-Pt,AB5C10,16,Pmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1186.cif,c840a44388f820f0d0260b6f905ae79ba075ce4d87b58640a5121a9eb78769c4,209,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00210,MatterGen,mattergen_base_unconditional_smoke,Y2 Be2 H8,YBeH4,Be-H-Y,ABC4,12,I4_1/amd,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1187.cif,6701657f4fb1efceecaf908ffac0e907fd3cf610e5712e65a3a5c44046f5b866,210,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00211,MatterGen,mattergen_base_unconditional_smoke,Dy2 Ga2 O2,DyGaO,Dy-Ga-O,ABC,6,Cmcm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1188.cif,dfa3318f36abb80e9c4258c19c16eca83bd5a378bc4260757dab17251b78272a,211,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00212,MatterGen,mattergen_base_unconditional_smoke,Ga1 Mo2 Os1,GaMo2Os,Ga-Mo-Os,ABC2,4,F-43m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1189.cif,929d655ebe4f8a9232e9909e3f699ebe6798969178b3c06693930b2234ddf127,212,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00213,MatterGen,mattergen_base_unconditional_smoke,Ti8 Cr1 Pb2,Ti8CrPb2,Cr-Pb-Ti,AB2C8,11,Immm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_119.cif,4c26bff1c67bcebba9a25c218825e54db4f210d37ac0cd38ae02f35573f811e9,213,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00214,MatterGen,mattergen_base_unconditional_smoke,Hf1 Sc1 Co2,HfScCo2,Co-Hf-Sc,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1190.cif,9e6a57d6a1c1924e7ec15e6aa78bd17f82256b558c946285c16f14a89ca0a834,214,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00215,MatterGen,mattergen_base_unconditional_smoke,Dy1 Tm1 Ni1 Ir1,DyTmNiIr,Dy-Ir-Ni-Tm,ABCD,4,P4mm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1191.cif,e614074c3b177159824fff21e50462c70b333289f4e599e463b9b3c1c18c49f6,215,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00216,MatterGen,mattergen_base_unconditional_smoke,Pr4 Mn3 Cu2 O11,Pr4Mn3Cu2O11,Cu-Mn-O-Pr,A2B3C4D11,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1192.cif,3217dab219b35157a896757c4dee218f73766072fec32ffd8d968a043ec57da0,216,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00217,MatterGen,mattergen_base_unconditional_smoke,Tm4 Hf1 Rh5,Tm4HfRh5,Hf-Rh-Tm,AB4C5,10,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1193.cif,7b1657a5e50a77117ebeaf703c090daf1560cb946fc1d833708567b00910d0e5,217,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00218,MatterGen,mattergen_base_unconditional_smoke,Tm2 Sc1 Pd1,Tm2ScPd,Pd-Sc-Tm,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1194.cif,0cd9ea0685657026b6a6ae7c991fb9f960eeb126ee5d55246387c65e8a7460aa,218,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00219,MatterGen,mattergen_base_unconditional_smoke,Nd3 Cd3 Ir4,Nd3Cd3Ir4,Cd-Ir-Nd,A3B3C4,10,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1195.cif,ccfe25df1122f8a150d0711072eb14cc4e64c03dc9f5423225161b3f3589f57a,219,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00220,MatterGen,mattergen_base_unconditional_smoke,Tm3 Mg2 In4,Tm3(MgIn2)2,In-Mg-Tm,A2B3C4,9,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1196.cif,c8a170b8e21bb7814c5a1340d51560d0c1de0345e4e2629be121933d54bd8be6,220,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00221,MatterGen,mattergen_base_unconditional_smoke,Pr1 Rh2 Pb1,PrRh2Pb,Pb-Pr-Rh,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1197.cif,301a463dfedaf6b4353b0c808d1b0d07fa6eca6cf14b87598466a92d9b356932,221,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00222,MatterGen,mattergen_base_unconditional_smoke,Mg1 Mn1 Cr3 Sn1 S8,MgMnCr3SnS8,Cr-Mg-Mn-S-Sn,ABCD3E8,14,R3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1198.cif,6174be57b0e596622f17bc3e1074f23314337257ad6b73d22bf33cc2d86f968c,222,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00223,MatterGen,mattergen_base_unconditional_smoke,Ho2 Si4 Ir3 Pt1,Ho2Si4Ir3Pt,Ho-Ir-Pt-Si,AB2C3D4,10,P-4m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1199.cif,aed76a6caeeab55a478e4fbe61d1fc3de190052073d2946cdc082734704de46e,223,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00224,MatterGen,mattergen_base_unconditional_smoke,Zr1 Cr1 H1 N2,ZrCrHN2,Cr-H-N-Zr,ABCD2,5,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_12.cif,d8f1e4e28cba38d737266e2cb2d26011b4f8ee57eccf4d5f3157ec478499e7da,224,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00225,MatterGen,mattergen_base_unconditional_smoke,Ga3 Co13,Ga3Co13,Co-Ga,A3B13,16,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_120.cif,ebd949d8f1ff37261e17c0c4f4e80f27f97eafec7233030687e7a564764e907a,225,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00226,MatterGen,mattergen_base_unconditional_smoke,Sr4 Ca3 Sn1 S8,Sr4Ca3SnS8,Ca-S-Sn-Sr,AB3C4D8,16,R-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1200.cif,097726c6493b2b3b0b0491b990d87e733340b545507db2f0f5682ed605a21f57,226,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00227,MatterGen,mattergen_base_unconditional_smoke,Rb3 Br5,Rb3Br5,Br-Rb,A3B5,8,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1201.cif,6c323d328901fbe7977e78ed49645bd84fcedccd455f758c7824b56784bf1535,227,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00228,MatterGen,mattergen_base_unconditional_smoke,Tb4 Y2 Tl3,Tb4Y2Tl3,Tb-Tl-Y,A2B3C4,9,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1202.cif,d26e3abf9d49e447d90877d0a0c7c95f66c6108fc9f5618d9dab713350a0fb7c,228,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00229,MatterGen,mattergen_base_unconditional_smoke,Li4 Sn1 Hg2 Pd1,Li4SnHg2Pd,Hg-Li-Pd-Sn,ABC2D4,8,Imm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1203.cif,d7e91852e21d3b66a9063cbab9501c62f10a888a3fbf834392a4b0df53528c4d,229,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00230,MatterGen,mattergen_base_unconditional_smoke,Mg1 Ga2 Te4,Mg(GaTe2)2,Ga-Mg-Te,AB2C4,7,I-42m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1204.cif,f20fb552b3a2c6f34e9733cf73cdc859eb15ce5ea1bf59eecb17bc62c1f8b02a,230,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00231,MatterGen,mattergen_base_unconditional_smoke,Y2 Cd2 Ir2,YCdIr,Cd-Ir-Y,ABC,6,P4/nmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1205.cif,f473b8c3191a0cb3c7b504d0e947ec8ee7072f6e2be0266dae89de54049478de,231,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00232,MatterGen,mattergen_base_unconditional_smoke,Sn1 H4 I6,Sn(H2I3)2,H-I-Sn,AB4C6,11,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1206.cif,38305f427ba33d4ae7bd3b6db8b857e9c634ac46405a007542a044a9233b4f20,232,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00233,MatterGen,mattergen_base_unconditional_smoke,Pr2 Nd3 Sm3,Pr2(NdSm)3,Nd-Pr-Sm,A2B3C3,8,Immm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1207.cif,7e229f034daa063158771d0a997da218acf750720eaf4cdd1fb7e7fa64913503,233,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00234,MatterGen,mattergen_base_unconditional_smoke,Er2 Tm1 Ag5,Er2TmAg5,Ag-Er-Tm,AB2C5,8,I4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1208.cif,b851df4c92a0d9f43a32239592c9f45f0d8dfc37f2e5bd1bb5ac521c2e281b50,234,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00235,MatterGen,mattergen_base_unconditional_smoke,Cs3 Na2 Er1 Br9,Cs3Na2ErBr9,Br-Cs-Er-Na,AB2C3D9,15,P-3m1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1209.cif,74bc6a7f9d25c21ca90c6081a203cafc83b25656193e7f48bda81894b93fa71a,235,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00236,MatterGen,mattergen_base_unconditional_smoke,Ni4 Mo1 Pt6,Ni4MoPt6,Mo-Ni-Pt,AB4C6,11,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_121.cif,28b15221971334da604cf01fef325132da23625265485d0701a35ad35b48ea5d,236,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00237,MatterGen,mattergen_base_unconditional_smoke,Rb2 Zn3 Pd1 F12,Rb2Zn3PdF12,F-Pd-Rb-Zn,AB2C3D12,18,R-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1210.cif,7c7f9ac95ad0ee1f8e8ae83947f1ade31de3c265848e0e9403373aff70e5d14e,237,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00238,MatterGen,mattergen_base_unconditional_smoke,Cs14 Rb1 Au5,Cs14RbAu5,Au-Cs-Rb,AB5C14,20,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1211.cif,b5f4c950555bac4409e9d4cb97bc0ea149a3c8ca894a859826e9fa5d80cc1ca5,238,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00239,MatterGen,mattergen_base_unconditional_smoke,Zr2 Zn1 Ag1,Zr2ZnAg,Ag-Zn-Zr,ABC2,4,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1212.cif,4ebb8463dbb136920dc20cc71c7d8267ea279cc40c7a93ba785919aaf08b8744,239,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00240,MatterGen,mattergen_base_unconditional_smoke,Cs2 Mg1 Cu1 Cl6,Cs2MgCuCl6,Cl-Cs-Cu-Mg,ABC2D6,10,I4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1213.cif,434eb3729182397945bceee5cd1f03eba7ab54f5a3b39bf83f749518730cfdb2,240,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00241,MatterGen,mattergen_base_unconditional_smoke,Li1 La2 Tl1 H1,LiLa2TlH,H-La-Li-Tl,ABCD2,5,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1214.cif,7a93690e1db150a09b2842223567046eff6c650d64f87817fbd03b0789d49210,241,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00242,MatterGen,mattergen_base_unconditional_smoke,Sr2 Pr2 In2 I12,SrPrInI6,I-In-Pr-Sr,ABCD6,18,P-31c,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1215.cif,b13eb618b8298b77edb1909b49005153a615f0cf073a0b5331576feadcd6842b,242,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00243,MatterGen,mattergen_base_unconditional_smoke,Ti2 S4 I4,Ti(SI)2,I-S-Ti,AB2C2,10,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1216.cif,f8def30d8bfc08043a2a8a0b71009fd85539e3e34c56d2e60abb0bd25c25872f,243,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00244,MatterGen,mattergen_base_unconditional_smoke,Cs4 Pb2,Cs2Pb,Cs-Pb,AB2,6,C2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1217.cif,c795e2a560b7fdd1b090e780830b6e572b97b53c9f98a5dea79efa9e90b0c9b7,244,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00245,MatterGen,mattergen_base_unconditional_smoke,Si4 Pt4 Au2,Si2Pt2Au,Au-Pt-Si,AB2C2,10,P4/mbm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1218.cif,2fea2befd2a109dcdf772b9b082f2e708190d2eb60c87407ad3d34a48252235d,245,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00246,MatterGen,mattergen_base_unconditional_smoke,Cs2 Au7,Cs2Au7,Au-Cs,A2B7,9,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1219.cif,3cb79497492e24ef6491bdc6757866ec3e811fc7f370bd0f898304efaf20464a,246,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00247,MatterGen,mattergen_base_unconditional_smoke,Tl2 Ag2 Cl8,TlAgCl4,Ag-Cl-Tl,ABC4,12,Pmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_122.cif,bd7288f10154d7774358f7708eac8c652737afec6b8c6387a649ccf48c9d98d5,247,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00248,MatterGen,mattergen_base_unconditional_smoke,Cs1 Tl1 Se2 O8,CsTl(SeO4)2,Cs-O-Se-Tl,ABC2D8,12,P-3,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1220.cif,1a90c87542fae7d18615f382832ab128d52c762ac5ce2984e2ecc68f2a37820e,248,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00249,MatterGen,mattergen_base_unconditional_smoke,Pr2 As5 Au1,Pr2As5Au,As-Au-Pr,AB2C5,8,P-4m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1221.cif,52f4c8ab459d423f7589e5310992f6af9faade099068e47f15dc2a162efed98d,249,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00250,MatterGen,mattergen_base_unconditional_smoke,Cr1 Ir1 O4,CrIrO4,Cr-Ir-O,ABC4,6,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1222.cif,1e303a33a89aa468b6754ec6bfbcfc56b306cf05aee1670db8253c376cbda499,250,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00251,MatterGen,mattergen_base_unconditional_smoke,Sm1 Al7 Cu5,SmAl7Cu5,Al-Cu-Sm,AB5C7,13,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1223.cif,5a1a2cd819006f33af2836c7686b5c93de6d23236d794cf9e59540724a96a59e,251,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00252,MatterGen,mattergen_base_unconditional_smoke,Y1 H1 Ir3,YHIr3,H-Ir-Y,ABC3,5,Pm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1224.cif,101c24f1ad7b74cd4b2e181f3c63e44c922312efac6c81b700797e0947fcdb32,252,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00253,MatterGen,mattergen_base_unconditional_smoke,Cu1 P4 Se3,CuP4Se3,Cu-P-Se,AB3C4,8,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1225.cif,94cd039c7c613a74340ce8a4c6dde2338a1d1ffd18d300f2672658e3cece46ab,253,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00254,MatterGen,mattergen_base_unconditional_smoke,Sr1 In2 Pd2 Pb2,SrIn2(PdPb)2,In-Pb-Pd-Sr,AB2C2D2,7,R-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1226.cif,7b984ad12f0b16976b47ecf82c709f3f725106f8318e9df2c33137e568c237dd,254,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00255,MatterGen,mattergen_base_unconditional_smoke,Ca1 Nd1 Ag1 Sn1,CaNdAgSn,Ag-Ca-Nd-Sn,ABCD,4,F-43m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1227.cif,7aeca05409e9f70f46f3b065004867feda8028fe143460e6e632779b751ca436,255,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00256,MatterGen,mattergen_base_unconditional_smoke,Tb2 Tm5 Ni4,Tb2Tm5Ni4,Ni-Tb-Tm,A2B4C5,11,Imm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1228.cif,45527c05358e8b65f6bfef06384b5487fc6e28a9a8e953242717a19fd2be7658,256,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00257,MatterGen,mattergen_base_unconditional_smoke,Sr4 Ce1 Mg2 Bi2 O11,Sr4CeMg2Bi2O11,Bi-Ce-Mg-O-Sr,AB2C2D4E11,20,Pm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1229.cif,183bae50c20508fd38fefc0aad653ee26a8ebfe7c5927657e818070f45248db1,257,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00258,MatterGen,mattergen_base_unconditional_smoke,Na5 Sn1,Na5Sn,Na-Sn,AB5,6,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_123.cif,d724d772c4592fd16cd31435aa95c1e9c7564ad52522736030624413ec43025f,258,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00259,MatterGen,mattergen_base_unconditional_smoke,Rb2 Cd2 Cu2 F12,RbCdCuF6,Cd-Cu-F-Rb,ABCD6,18,Imma,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1230.cif,fc7893d667c21453b7790bedb9dd9a3f3ce7ea8bdc8482bc1285ed5241905442,259,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00260,MatterGen,mattergen_base_unconditional_smoke,Cs2 Sn6 Au4,CsSn3Au2,Au-Cs-Sn,AB2C3,12,Pmmn,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1231.cif,6accb55417b1892da3b6e35e5ec7bb3208d990d6be02d60def7c56c2b3821bbe,260,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00261,MatterGen,mattergen_base_unconditional_smoke,Nd1 Sm1 Rh2,NdSmRh2,Nd-Rh-Sm,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1232.cif,d16642f27cd31dada95943a6755528fb6db5a887b57223e92ccc30e0c6519bdf,261,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00262,MatterGen,mattergen_base_unconditional_smoke,Tm2 I6,TmI3,I-Tm,AB3,8,R-3c,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1233.cif,dc1867356af54ef2ef747674e94dd5f013c6740b4e79d3596df83389b43f85c3,262,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00263,MatterGen,mattergen_base_unconditional_smoke,Sm1 Ho5,SmHo5,Ho-Sm,AB5,6,Cmmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1234.cif,7078d3892046bf2084cf79d97f1b957e458f0af9cb2061d49663b31d51615d2e,263,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00264,MatterGen,mattergen_base_unconditional_smoke,Li1 Y1 Tl2,LiYTl2,Li-Tl-Y,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1235.cif,0c945a31b7a349005de5afcadccc5104578d3e70502ac13f598d7cbf33c8e84c,264,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00265,MatterGen,mattergen_base_unconditional_smoke,Ho2 Co1 Os1,Ho2CoOs,Co-Ho-Os,ABC2,4,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1236.cif,74026d4064366e6d087aa4d09be971b87c5ff4e0950ab436d7f132815a4a93bc,265,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00266,MatterGen,mattergen_base_unconditional_smoke,Li1 Al2 H3 O3,LiAl2(HO)3,Al-H-Li-O,AB2C3D3,9,P3m1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1237.cif,904c39eacacf80e8ad89e71511a95aefce704b3c30232598d17a35204c30b08d,266,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00267,MatterGen,mattergen_base_unconditional_smoke,Ce4 Sm5 N9,Ce4Sm5N9,Ce-N-Sm,A4B5C9,18,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1238.cif,4c8b0d8f5634bf423dd8594fa53c53989fdf9a6882edc2596ae7813d96b9fd74,267,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00268,MatterGen,mattergen_base_unconditional_smoke,Al2 Ga2 Au2,AlGaAu,Al-Au-Ga,ABC,6,P4/nmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1239.cif,2b91b7c617e83b2058c5626aef26dfe7baa7a4774dac73753d62d6c3d46d7052,268,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00269,MatterGen,mattergen_base_unconditional_smoke,Mn1 Si1,MnSi,Mn-Si,AB,2,Pm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_124.cif,672fe466cb2993c03fe6a695e0336f9492bcec821aaba13e5ca63b8bf79c4fa7,269,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00270,MatterGen,mattergen_base_unconditional_smoke,K2 Ag1 Ru1 F6,K2AgRuF6,Ag-F-K-Ru,ABC2D6,10,Fm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1240.cif,3addb4fef083c9a136504410e0a50a19e3959b3604e744bf58aa33d869545523,270,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00271,MatterGen,mattergen_base_unconditional_smoke,Li4 Be2 Te6,Li2BeTe3,Be-Li-Te,AB2C3,12,Amm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1241.cif,56f903b9224876085ade28ba6941d13fdb701ad036b204e54680e1f2b16643ed,271,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00272,MatterGen,mattergen_base_unconditional_smoke,Tb1 Pr1 Er1,TbPrEr,Er-Pr-Tb,ABC,3,P-6m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1242.cif,f167a104ca52af2f91662348170c24e6fa4c55b7412d24ac362fa0ce4dc0da27,272,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00273,MatterGen,mattergen_base_unconditional_smoke,Er2 Ag2 Br6,ErAgBr3,Ag-Br-Er,ABC3,10,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1243.cif,01b5e0de090511a3b07a8f211a05fb0ca3476dad08feedc47440c158ca46d26a,273,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00274,MatterGen,mattergen_base_unconditional_smoke,Rb2 Hg1 S1,Rb2HgS,Hg-Rb-S,ABC2,4,Fm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1244.cif,dc7620e85b0cd51aaf393dbb24125e071836017ae0ffb401636e900b683c9b33,274,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00275,MatterGen,mattergen_base_unconditional_smoke,La1 Ho1 Er2 Au4,LaHo(ErAu2)2,Au-Er-Ho-La,ABC2D4,8,R-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1245.cif,83e27e1fe986d36a62d84b43b26fdf603e7913b40fc618ac01ea21a66973dae5,275,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00276,MatterGen,mattergen_base_unconditional_smoke,Zr2 Nb1 Ru1,Zr2NbRu,Nb-Ru-Zr,ABC2,4,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1246.cif,3cd4eae89b220eedc55be830125d0b7085ab217576ff84afbece973f6a22243b,276,pymatgen_readable_smoke_candidate
